arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	5000	37629595	25147092	558443	
2	5000	37530951	25048448	844821	
3	5000	37707307	25224804	1135234	
4	5000	37648455	25165952	1432509	
5	5000	37267243	24784740	1724706	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	10000	149679659	99714656	3015365	
2	10000	149876739	99911736	3653234	
3	10000	150029891	100064888	4279545	
4	10000	149515375	99550372	4962927	
5	10000	149889767	99924764	5596458	


		media

arquivo	tamanho	Bubble Sort	Insertion Sort	Quick Sort	
1	15000	338995507	226548004	7795644	
2	15000	337130235	224682732	8845868	
3	15000	337457399	225009896	9893569	
4	15000	338231311	225783808	10944931	
5	15000	337688163	225240660	11938350	


		media

